page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
,いしざき,,,風,DF,,126,113,54,50,46,63,58,48,53,49,スピニングシュート (C),タフネスブロック (Lv13),ブレードアタック (Lv42),ドこんじょうバット (Lv50)(B),ishizaki,,いしざき みつる,石崎 満,Caperock,Paul Caperock,1608
,かのう,,,風,MF,,117,121,56,58,73,53,46,45,62,20,たまのりピエロ,ラン・ボール・ラン (Lv37),じごくぐるま (Lv44),エアライド (Lv66),kanou,1,かのう りんすけ,加納 輪介,Rhymes,Leroy Rhymes,1609
,きくち,,,火,DF,,115,109,53,55,69,52,61,56,58,19,クイックドロウ,ローリングキック (Lv14),ブレードアタック (Lv37),フレイムダンス (Lv48),kikuchi,,きくち やすち,菊池 康志,Strike,Jason Strike,1610
,こづか,,,風,DF,,127,113,53,48,68,48,55,49,68,39,ローリングキック (C),しっぷうダッシュ (Lv17),カンガルーキック (Lv41),ツインブースト (Lv53),kozuka,1,こづか ゆうすけ,小塚 勇介,Molehill,Julius Molehill,1611
,じょう,,,火,GK,,105,119,44,51,52,68,47,57,78,27,トルネードキャッチ,スピニングシュート (C)(Lv21),つむじ (Lv32),カポエィラスナッチ (Lv45),jou,,いけがき じょう,生垣 冗,Ingram,Joe Ingram,1612
,たちの,,,林,MF,,117,109,50,58,53,54,55,52,54,33,スーパースキャン (Lv19),マジック (Lv28),フェイクボール (Lv39),ペガサスショット (C)(Lv70),tachino,,たちの せいいち,立野 誠一,Scott,Mildford Scott,1613
,ちゃき,,,林,MF,,118,121,51,53,53,50,66,53,54,42,グレネードショット (Lv10),ダイナマイトシュート (C)(Lv24),ダークトルネード (B)(Lv41),バックトルネード (B)(Lv53),chaki,,ちゃき しいと,茶木 椎斗,Chaney,Bruce Chaney,1614
,つつみ,,,風,GK,,102,133,50,45,51,63,50,45,75,30,トルネードキャッチ,シュートポケット (Lv21),ファントムシュート (C)(Lv39),ストームライダー (Lv44),tsutsumi,,つつみ こうじ,堤 広司,Banker,Peter Banker,1615
,でまえ,,,火,FW,,125,124,60,68,45,51,44,72,71,23,イケイケ！,スピニングシュート (C),ヒートタックル (Lv8),ばくねつストーム (Lv70),demae,,いでまえ よう,出前 洋,Edmonds,Lou Edmonds,1616
,ともおか,,,火,MF,,118,109,55,53,44,62,55,47,54,41,スパイラルショット (Lv9),ジャッジスルー (Lv24),ノーエスケイプ (Lv43),ターザンキック (C)(Lv58),tomooka,4,ともおか なると,友岡 愛斗,Tunk,Saul Tunk,1617
,のま,,,山,DF,,122,112,50,61,49,65,49,57,51,39,マジック,ホーントレイン (B)(Lv23),ザ・ウォール (B)(Lv35),じごくぐるま (Lv62),noma,4,のま はこぶ,野馬 運,Porter,Norman Porter,1618
,ひめじま,,,風,DF,,114,109,53,69,61,54,67,54,55,8,スピニングカット (B),クンフーヘッド (Lv16),クンフーアタック (B)(Lv43),じばしりかえん (Lv55),himejima,,ひめじま きわむ,姫島 極,Sefton,Kendall Sefton,1619
,まるで,,,山,DF,,113,145,45,40,42,38,44,61,43,110,ダッシュアクセル,スーパーアルマジロ (Lv20),しこふみ (Lv32),イナズマ１ごう (B)(Lv54),marude,4,まるで ためお,丸出 為夫,Most,Alan Most,1620
,みずぐち,,,林,FW,,109,132,49,55,70,51,51,56,65,21,スネークショット (C),スーパースキャン (Lv19),プロファイルゾーン (Lv38),パトリオットシュート (L)(Lv44),mizuguchi,,みずぐち せいじ,水口 精司,Cyborg,Greg Bernard,1621
,むかいやま,,,林,DF,,130,105,62,53,55,44,53,55,49,40,コイルターン (Lv9),ブレードアタック (Lv22),オオウチワ (Lv35),サイクロン (Lv54),mukaiyama,,むかいやま きょうご,向山 恭吾,Chops,Maxwell Claus,1622
,やすなが,,,風,MF,,122,129,59,56,58,52,48,52,72,26,イケメンUP！,フリーズショット,ダイナマイトシュート (C)(Lv28),ダッシュストーム (Lv49),yasunaga,,やすなが ひでつぐ,安永 英嗣,Morefield,Cameron Morefield,1623
,くろがみ,,,林,FW,,95,120,56,45,48,58,52,69,45,17,のろい,サイコショット,まぼろしドリブル,デスゾーン (Lv83),kurogami,,くろがみ のろい,黒上 呪,Noir,Phil Noir,1624
,さんず,,,林,DF,,107,113,56,47,68,52,64,59,46,27,おんりょう,ファントムシュート (C),のろい,グラディウスアーチ (L),sanzu,,さんず わたる,三途 渡,Styx,Russell Walk,1625
,じゅうぞう,,,風,GK,,118,116,52,56,61,73,56,54,53,36,セツヤク！,キラーブレード,ゆがむくうかん,ガラティーン,juuzou,,なた じゅうぞう,鉈 十三,Mask,Nathan Jones,1626
,つきむら,,,火,FW,,109,115,61,70,45,52,74,53,60,30,マジック,ファントムシュート (C),ウルトラムーン,ウルフレジェンド,tsukimura,,つきむら けんいち,月村 憲一,Wolfy,Troy Moon,1627
,つぶらや,,,風,FW,,100,112,48,54,67,50,48,58,44,28,すいせいシュート (L),アストロブレイク,クンフーヘッド,ユニバースブラスト (C),tsuburaya,,つぶらや みち,円谷 未知,Alien,Uxley Allen,1628
,にんぎょう,,,林,FW,,98,96,52,66,45,48,53,53,50,53,ファントムシュート (C),くものいと,ドッペルゲンガー,あいきどう,ningyou,,ひとがた げん,人形 幻,Dollman,Chuck Dollman,1629
,ふし,,,山,GK,,137,94,47,51,50,40,64,74,56,22,しこふみ,ゆがむくうかん,ロケットこぶし,カウンターストライク,fushi,3,ふし まつる,不死 祀,Zombie,Rob Crombie,1630
,ふじみ,,,火,DF,,126,106,52,58,56,61,56,79,53,25,ふっかつ！,ファントムシュート (C),ワープドライブ,かげぬい,fujimi,4,しかばね ふじみ,屍 藤美,Undead,Jerry Fulton,1631
,ブラッド,,,山,FW,,110,132,72,52,52,51,56,46,60,58,むぞくせい,ファントムシュート (C),どくぎりのじゅつ,バーバリアンのたて (B)(Lv52),buraddo,,ぶらど きば,武羅渡 牙,Blood,Burt Wolf,1632
,フランケン,,,山,DF,,123,128,55,66,47,70,52,61,48,23,ねっけつヘッド,ダブルロケット,ばくれつパンチ,カウンターストライク,furanken,3,ふらん けん,不乱 拳,Franky,Ken Furan,1633
,まかい,,,林,MF,,116,100,64,50,54,44,48,56,54,35,おんりょう,のろい,バーバリアンのたて (B),じごくぐるま,makai,,まかい たかお,魔界 崇雄,Ghost,Mick Askley,1634
,ミイラ,,,林,MF,,97,137,54,48,60,52,73,54,61,22,おんりょう,たつまきどくぎり,くものいと,ゆがむくうかん,miira,,きのい まみ,木乃伊 魔美,Mummy,Robert Mayer,1635
,やつはか,,,火,MF,,98,127,57,68,60,52,62,56,55,19,のろい,かげぬい,ハリケーンアロー,カマイタチ,yatsuhaka,,やつはか たたる,八墓 祟,Grave,Alexander Brave,1636
,やなぎだ,,,風,DF,,112,108,52,54,57,57,60,54,63,23,ドッペルゲンガー,とうめいフェイント,おんりょう,フェイクボンバー,yanagida,1,やなぎだ しげる,柳田 しげる,Creepy,Jason Jones,1637
