page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
,アングラー,,スカウト,火,MF,5,117,105,60,62,60,56,61,50,68,19,カンガルーキック,ネバーギブアップ,くものいと,ツナミブースト (L),anguraa,,マット・アングル,,Fisher,Matt Fischer,2027
,ウォーター,,スカウト,風,DF,5,127,108,60,56,48,60,59,50,71,23,グレイブストーン,アイスグランド,たつまきせんぷう,サザンクロスカット,uootaa,,デビット・ウォーターマン,,Water,David Waterman,2028
,クラーケン,,スカウト,林,DF,5,119,118,52,61,62,68,52,48,62,40,ホエールガード,カンガルーキック,セツヤク！,バーバリアンのたて (B),kuraaken,,クラーク・ケイン,,Kraken,Ken Crackham,2029
,クラブ,,スカウト,山,MF,5,120,109,58,72,49,63,42,53,62,29,モグラフェイント,グレイブストーン,クンフーアタック (B),パワーチャージ,kurabu,,クライブ・シザーズ,,K-Rab,Derek Rabson,2030
,サーフィン,,スカウト,風,MF,5,123,110,49,59,69,52,71,49,59,49,ウォーターベール,ツナミブースト (L),ムーンサルト,まぼろしドリブル,saafyin,,サーフ・ウィンダス,,Hang-Ten,Hank Tennyson,2031
,サマー,,スカウト,火,MF,5,136,118,49,59,61,60,70,52,67,30,カンガルーキック,れっぷうダッシュ,すいせいシュート (L),フレイムダンス,samaa,,ホリー・サマーズ,,Summers,Holly Summers,2032
,シーホース,,スカウト,林,GK,5,121,130,53,60,62,64,69,53,53,19,グレートバリアリーフ,アイスブロック,フリーズショット,シュートポケット,shiihoosu,,クインシー・ホースト,,C-Horse,Quincy Horace,2033
,シュリンプ,,スカウト,火,MF,5,122,94,48,70,63,56,67,53,62,31,ウォーターベール,ムーンサルト,グレイブストーン,ストーンプリズン,shurinpu,1,シュリー・プリンストン,,Prawn,Shawn Princeton,2034
,ジョーズ,,スカウト,火,FW,5,122,112,83,56,46,40,42,44,70,46,メガロドン 改,ウォーターベール,おんりょう,メガクェイク,joozu,3,ジョー・ジョーンズ,,Jaws,Joe Dawes,2035
,ジンベイ,,スカウト,風,GK,5,126,138,58,69,49,76,57,48,73,29,グレートバリアリーフ 改,つなみウォール,カンガルーキック,キーパープラス (LV64),jinbei,,ジーン・ベイカー,,Whale,Gene Whalon,2036
