page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
30-1,カード,（パスワード）,"ブラジル
(ガチャ: 黄 )",火,DF,,133,99,54,68,49,79,62,62,60,6,こんしん！,ビッグカード,ボルケイノカット (B),ノーエスケイプ,kaーdo,3,かどつか おうぜ,角塚 王是,Cardson,Rob Cardson,290
30-2,かいおう,沖縄市街地,"沖縄
(ガチャ: 赤 )",林,MF,,125,110,58,62,58,58,57,56,56,26,スーパースキャン,ムーンサルト,オーロラドリブル,ドラゴンキャノン (B),kaiou,,かいおう せいじ,海皇 星児,Neptune,Bert Neptune,291
30-3,かいかわ,セントラル,"ジャパン
(ガチャ: 黄レア )",山,DF,,119,93,56,56,53,60,53,57,53,50,しっぷうダッシュ,フェイクボンバー,ごりむちゅう,たつまきどくぎり,kaikawa,,かいかわ みちや,開川 路也,Groundsy,Alf Groundsman,292
30-4,かいず,北海道,"北海道
(ガチャ: 青 )",風,FW,,121,95,65,53,53,64,57,51,50,48,スパイラルショット 真,しっぷうダッシュ,ツナミブースト (L),U･ボート,kaizu,,かいず どう,海図 導,Wayfinder,Sigmund Wayfinder,293
30-5,かいづか,南東京,"大江戸国際空港
(ガチャ: 青 )",林,DF,,119,91,54,56,52,53,57,55,52,50,スーパースキャン,ごりむちゅう,Ｕ・ボート,くものいと,kaizuka,,かいづか けいじ,貝塚 桂次,Diggun,Remy Diggun,294
30-6,カイト,南東京,ミニバトル,林,MF,,125,101,56,62,56,60,67,57,60,33,クリティカル！,クイックドロウ,ライトニングアクセル,トリプルダッシュ,kaito,,かっき かいと,勝喜 快翔,Rush,Paul Rush,295
30-7,かいとう,大阪,"関西 愛媛
(ガチャ: 黄 )",火,GK,,99,126,60,61,62,58,58,58,56,34,こがらし,つむじ,クンフーアタック (B),ちゃぶだいがえし,kaitou,4,かいとう まもる,海東 衛,Swagg,Nick Swagg,296
30-8,かいどう,北東京,"稲妻商店街
(ガチャ: 赤 )",風,MF,8,102,128,57,54,69,56,50,58,53,26,メガトンヘッド (B),ドッグラン,ジグザグスパーク,セキュリティショット,kaidou,,かいどう しゅうへい,海堂 脩平,Shekinah,Gabriel Shekinah,297
30-9,かいほう,北東京,"稲妻商店街
(ガチャ: 青 )",林,FW,,115,114,56,57,51,53,51,56,54,54,たまのりピエロ,サイコショット,イリュージョンボール,レインボーループ (L),kaihou,,かいほう ふみお,回法 文夫,Lorre,Errol Lorre,298
30-10,かいよう,北東京,"稲妻商店街
(ガチャ: 黄 )",風,MF,,90,127,57,51,48,50,44,57,53,64,キラースライド,ヒートタックル,クンフーヘッド,トカチェフボンバー (C),kaiyou,,にいむら うみひろ,新村 海洋,Parrot,Ivor Parrot,299
31-1,かいり,北海道,"北海道
(ガチャ: 青 )",林,FW,,91,134,47,48,44,55,59,55,52,51,ツナミブースト (L),フーセンガム,レインボーループ (L),ホエールガード (LV58),kairi,,あきやま かいり,秋山 海里,Watchorn,Alexis Watchorn,300
31-2,かいりき,ウミヘビ島,人脈システム,風,MF,,128,105,70,66,70,65,61,48,48,20,ダッシュアクセル,クリティカル!,ひとりワンツー,ジャイアントスピン (B),kairiki,3,かいりき きょう,怪力 挟,Zooner,Joachim Zooner,301
31-3,カウカ,南東京,人脈システム,風,DF,,127,99,42,41,53,56,53,63,54,53,ムーンサルト,グラビテイション (B),メテオシャワー,りゅうせいブレード (B),kauka,,ほしよみ カウカ,星読 カウカ,Polaris,Fala Polaris,302
31-4,かおてつ,イギリス,"イギリス
(ガチャ: 黄 )",山,DF,,120,112,62,65,60,63,58,57,57,33,ジャイアントスピン (B),アースクェイク,ダッシュストーム,シューティングスター (B),kaotetsu,3,がおう ごうてつ,我王 剛鉄,Dauger,Alex Dauger,303
31-5,カオル,イギリス,人脈システム,林,FW,,100,138,58,62,66,62,61,41,51,60,ゴッドブレイク G2,ディバインアロー,ヘブンズタイム,ダブルサイクロン,kaoru,,はくぬ かおる,波久奴 花王瑠,Flappable,Ian Flappable,304
31-6,かが,北東京,"稲妻商店街
(ガチャ: 黄 )",風,DF,,133,92,60,56,57,61,48,58,51,25,コイルターン,ジグザグスパーク,かげぬい,まぼろしドリブル,kaga,,かが ゆうた,加賀 裕太,Parting,Sid Parting,305
