page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
,あらや,,,風,MF,,102,136,48,59,57,54,63,57,60,30,うしろのしょうめん,レボリューションV,フローズンスティール,ライアーショット,araya,1,あらや こんこ,荒谷 紺子,Bootgaiter,Kerry Bootgaiter,1765
,いや,,,林,MF,,106,124,56,60,61,54,61,53,65,20,まぼろしドリブル,レインボーループ (L),クルクルヘッド (C),オーロラドリブル,iya,,いや まふる,居屋 真降,Rock,Maddox Rock,1766
,おしや,,,風,DF,,109,110,52,62,54,55,54,60,62,19,フェイクボール,アイスグランド,ラン･ボール･ラン,フローズンスティール,oshiya,,おしや まんべ,押矢 万部,Bindings,Milton Bindings,1767
,きたみ,,,林,FW,,118,117,56,57,56,58,64,65,64,18,こうていペンギン2ごう,エターナルブリザード,カマイタチ,ウォーターベール,kitami,,きたみ りゅう,喜多海 流,Rackner,Quentin Rackner,1768
,ごりょう,,,火,DF,,107,116,56,57,52,53,60,53,60,26,ムーンサルト,ウルトラムーン,エッフェルドライブ (C),ストーンプリズン,goryou,3,ごりょう たけあき,五稜 武揚,Strata,Gem Strata,1769
,しつはら,,,火,MF,,111,109,60,54,69,57,60,53,58,12,ひとりワンツー,メテオアタック,オーロラドリブル,デュアルストライク,shitsuhara,,しつはら ぜん,湿原 然,Bogg,Pete Bogg,1770
,しろくま,,,林,DF,,124,104,60,69,51,68,56,58,56,8,ディフェンスプラス,モグラフェイント,アイスグランド,ボルケイノカット (B),shirokuma,,しろくま ひょうじ,白熊 氷司,Ursus,Martin Ursus,1771
,すみたに,,,山,GK,,113,121,47,58,59,66,57,63,71,16,まきわりチョップ,オーロラカーテン,つむじ,ストームライダー,sumitani,1,すみたに たつまろ,炭谷 達磨,Peggs,Trent Peggs,1772
,そらの,,,林,MF,,117,119,56,52,62,53,68,54,55,22,すいせいシュート (L),まぼろしドリブル,ホークショット (B),エアライド,sorano,,そらの れぶん,空野 礼文,Skipolson,Robert Skipolson,1773
,ちひら,,,林,FW,,105,118,55,63,52,52,60,58,60,12,ローリングキック (C),しっぷうダッシュ,フリーズショット,ウォーターベール,chihira,,ちひら こうだい,地平 広大,Onlign,Horace Onlign,1774
,はこだ,,,風,GK,,118,129,57,56,53,69,51,67,66,15,オーロラカーテン,ぞくせいきょうか,アイスグランド,アイスブロック,hakoda,3,はこだ てつ,函田 鉄,Ropes,Adam Ropes,1775
,ふぶき 2,,,風,DF,,108,120,59,57,68,64,70,69,50,8,アイスグランド,スピニングカット (B),エターナルブリザード,フローズンスティール,fubuki,,ふぶき しろう,吹雪 土郎,Shawn,Shawn Froste,1776
,まとろ,,,火,DF,,109,133,54,54,55,63,52,56,63,36,アイスグランド,ほのおのかざみどり (L),スノーエンジェル,ふっかつ！ (Lv65),matoro,,まとろ じゅか,真都路 珠香,Downtown,Joaquine Downtown,1777
,まぶか,,,林,DF,,104,122,57,61,65,52,52,53,69,23,スピニングカット (B),ドッペルゲンガー,オーロラドリブル,かげぬい,mabuka,,まぶか そうじ,目深 宗司,Gleeson,Spike Gleeson,1778
,ゆきの,,,山,MF,,113,115,53,65,51,72,58,62,68,10,ネバーギブアップ,うしろのしょうめん,カンガルーキック,メガクェイク,yukino,4,ゆきの せいや,雪野 星也,Snowfield,Sean Snowfield,1779
,れつと,,,風,FW,,125,127,65,62,52,59,58,58,61,27,イケメンUP！,アイスグランド,エターナルブリザード,ノーザンインパクト (C),retsuto,,ひょうじょう れつと,氷上 烈斗,Climbstein,Roland Climbstein,1780
,あたろう,,,火,FW,,126,116,59,56,68,60,62,64,71,8,ちょうわざ！,クンフーアタック (B),たつまきせんぷう,ばくねつストーム,atarou,,てんじん あたろう,天神 阿太郎,Artz,Marshall Artz,1781
