page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
,おいお,,,林,MF,,115,101,55,60,57,53,59,54,53,49,ラン・ボール・ラン,アルマジロサーカス,たつまきどくぎり,エアライド,oio,2,おいお あきむね,老尾 明宗,Fanfair,Pomponius Fanfair,2293
,ザゴメル,,オーガプレミアムリンク,山,GK,,160,180,50,50,50,99,58,60,63,2,ハイボルテージ,ニードルハンマー,エレキトラップ,ふっかつ！,zagomeru,3,ザゴメル・ザンデ,,Luceafăr,Lars Luceafăr ,2294
,ブボー,,スカウト,風,DF,,127,154,49,73,48,81,63,49,59,14,グランドクェイク,シザース・ボム,パワーチャージ,シグマゾーン,buboo,1,ブボ・トランガス,,B.Trun.,Bump Trungus ,2295
,ゲボー,,オーガプレミアムリンク,火,DF,,127,142,48,71,49,76,62,50,60,12,デーモンカット,マッドエクスプレス,ディフェンスフォース,ボルケイノカット,geboo,1,ゲボ・トランガス,,L.Trun.,Lump Trungus,2296
,ダイッコ,,オーガプレミアムリンク,林,DF,,124,156,52,74,50,78,55,70,57,7,パワーチャージ,こんしん！,ボルケイノカット,エレキトラップ,daikko,4,ダイッコ・ブーカ,,Ischer,Radd Ischer ,2297
,ジニスキー,,スカウト,林,DF,,131,145,49,73,46,76,54,68,64,10,ボルケイノカット,パワーチャージ,イリュージョンボール ,ディフェンスフォース,jinisukii,2,ジニス・ジンキンス,,Jenkins,Jynx Jenkins ,2298
,サンダユウ,,スカウト,林,MF,,126,149,50,80,71,53,58,64,65,11,ジャッジスルー３,グラビテイション,デススピアー,パワーチャージ,sandayuu,2,サンダユウ・ミシマ,,Triumvir,Oni Triumvir,2299
,ドラッヘ,,スカウト,火,MF,,135,153,51,75,53,50,60,68,71,13,シグマゾーン,シザース・ボム,パワーチャージ,オフェンスフォース,dorahhe,3,ドラッヘ・ギュンター,,Gunther,Drachen Gunther,2300
,イッカス,,スカウト,山,MF,,128,140,51,72,74,49,54,68,59,12,デスレイン,グラビテイション,シザース・ボム,キラーフィールズ,ikkasu,2,イッカ・スタックス,,Stark,Ichabod Stark,2301
,エスカバ,,スカウト,山,FW,,126,150,78,48,54,48,72,60,63,24,デスレイン,エンゼルボール,シザース・ボム,デススピアー,esukaba,2,エスカ・バメル,,Malice,Escavan Malice,2302
,バダップ,,スカウト,林,FW,,127,152,81,51,52,52,72,72,65,11,デスブレイク,デススピアー,こんしん！,キラーフィールズ,badappu,2,バダップ・スリード,,Lancer,Bash Lancer,2303
,ミストレ,,スカウト,山,FW,,130,158,73,53,51,54,76,59,58,14,デススピアー,デスレイン,ジャッジスルー２,デビルボール,misutore,2,ミストレーネ・カルス,,Callous,Mystral Callous,2304
,えんどう,,,山,GK,,155,185,71,80,49,118,80,80,80,0,オメガ・ザ・ハンド,ちょうわざ！,こんしん！,ぞくせいきょうか,endou,2,えんどう まもる,円堂 守,Mark,Mark Evans,2305
,かぜまる,,,風,DF,,154,172,82,70,68,70,99,90,80,0,スピードフォース,ふうじんのまい,ダブルサイクロン,ザ・ハリケーン,kazemaru,2,かぜまる いちろうた,風丸 一郎太,Nathan,Nathan Swift,2306
,かべやま,,,山,DF,,143,166,58,53,62,99,60,75,54,0,ザ・ウォール,モグラフェイント,ちょうわざ！,ザ・マウンテン,kabeyama,4,かべやま へいごろう,壁山 塀吾郎,Jack,Jack Wallside,2307
,つなみ,,,風,DF,,162,167,128,80,51,80,70,71,65,0,こんしん！,ウォーターベール,ザ・タイフーン,ホエールガード,tsunami,2,つなみ じょうすけ,綱海 条介,Hurley,Hurley Kane,2308
,こぐれ,,,林,DF,,156,164,62,58,80,80,70,72,50,0,せんぷうじん,ぞくせいきょうか,サザンクロスカット,シグマゾーン,kogure,1,こぐれ ゆうや,木暮 夕弥,Scotty,Scott Banyan,2309
,とびたか,,,風,DF,,155,174,118,54,52,80,52,75,74,0,ぞくせいきょうか,しんくうま,ハリケーンアロー,ホークショット,tobitaka,2,とびたか せいや,飛鷹 征矢,Archer,Archer Hawkins,2310
,ふどう,,,火,MF,,156,180,77,90,99,90,65,53,64,0,イカサマ！,ノーエスケイプ,キラーフィールズ,こうていペンギン3ごう,fudou,2,ふどう あきお,不動 明王,Caleb,Caleb Stonewall,2311
,ふぶき,,,風,FW,,150,170,106,59,72,59,77,80,57,0,ぞくせいきょうか,オーロラドリブル,スノーエンジェル,ウルフレジェンド,fubuki,2,ふぶき しろう,吹雪 土郎,Shawn,Shawn Froste,2312
,ごうえんじ,,,火,FW,,163,173,138,99,62,70,70,80,60,0,ぞくせいきょうか,ヒートタックル,マキシマムファイア,グランドファイア,gouenji,2,ごうえんじ しゅうや,豪炎寺 修也,Axel,Axel Blaze,2313
,とらまる,,,林,FW,,150,180,118,56,90,55,70,80,57,0,デュアルパス,シグマゾーン,ちょうわざ！,タイガーストーム,toramaru,2,うつのみや とらまる,宇都宮 虎丸,Austin,Austin Hobbes,2314
,ライデン,,,風,MF,,154,187,74,80,53,80,60,71,68,0,ちょうわざ！,サンダービースト,スーパーしこふみ,ホエールガード,raiden,3,ひじかた らいでん,土方 雷電,Thor,Thor Stoutberg,2315
,きどう,,,風,MF,,153,176,81,59,79,52,90,56,68,0,ブロックサーカス,むぞくせい,キラーフィールズ,プライムレジェンド,kidou,2,きどう ゆうと,鬼道 有人,Jude,Jude Sharp,2316
,ヒロト,,,火,FW,,141,179,98,63,67,58,90,80,60,0,プラネットシールド,ちょうわざ！,ブーストグライダー,てんくうおとし,hiroto,2,きやま きら,基山 吉良,Xavier,Xavier Foster,2317
,たちむかい,,,林,GK,,143,192,77,54,66,99,56,60,80,0,まおう・ザ・ハンド,ちょうわざ！,こんしん！,ぞくせいきょうか,tachimukai,2,たちむかい ゆうき,立向居 勇気,Darren,Darren LaChance,2318
,さくま,,,林,FW,,154,176,108,100,61,53,80,70,67,0,オフェンスフォース,キラーフィールズ,ぞくせいきょうか,こうていペンギン3ごう,sakuma,2,さくま じろう,佐久間 次郎,Samford,David Samford,2319
,そめおか,,,林,FW,,152,174,148,70,49,53,51,100,100,0,ちょうわざ！,ドラゴンスレイヤー,デュアルパス,こんしん！,someoka,2,そめおか りゅうご,染岡 竜吾,Kevin,Kevin Dragonfly,2320
,はいじん,,,林,FW,,119,128,44,62,68,69,59,64,69,6,ブレードアタック,のろい,スーパースキャン,プロファイルゾーン,haijin,2,くにきだ はいと,国木田 俳人,Poe,Ted Poe,2321
,みちば,,,風,FW,,105,104,52,68,60,53,58,60,66,11,ブレードアタック,クンフーヘッド,ぶんしんシュート,あいきどう,michiba,2,みちば りょうじ,道場 亮治,Heart,Marshall Heart,2322
,こうじ,,,山,MF,,108,121,62,61,59,60,49,75,62,4,たつまきせんぷう,つちだるま,モグラシャッフル,ブーストグライダー,kouji,3,つちもり こうじ,土盛 工司,Foreman,Dom Foreman,2323
