page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
159-1,ラー,ヤマネコ島,人脈システム,火,GK,28,88,200,29,30,28,40,32,21,31,14,ぶんしんブロック,バーンアウト,フレイムベール,ムゲン・ザ・ハンド,raー,,ひかみ ラー,陽神 ラー,Ra,Sunil Rahman,1535
159-2,らーゆ,なし,とくしゅ（オーガ）,火,GK,10,135,90,48,48,48,84,48,53,66,20,キーパープラス,まきわりチョップ,ちゃぶだいがえし,せいぎのてっけん,raーyu,,あぶらび けいしろう,油日 桂志郎,Sosman,Si Sosman,1536
159-3,らいか,雷門体育館側,"稲妻商店街
(ガチャ: 青レア )",風,GK,8,88,100,65,58,57,56,57,58,56,44,おいろけUP！,スラッシュネイル,ザ・タワー (B),ぶんしんブロック,raika,,たかはし らいか,孝橋 来夏,Shopbell,Shona Shopbell,1537
159-4,らいごう,なし,とくしゅ（オーガ）,風,DF,10,110,129,60,59,60,65,59,60,58,17,メガトンヘッド (B),ちょうわざ！,スーパーエラシコ,モグラシャッフル,raigou,,らいごう みつと,雷豪 光斗,Bolt,Leighton Bolt,1538
159-5,らいでん,大阪,"関西 愛媛
(ガチャ: 青 )",山,GK,12,135,99,53,60,51,67,56,53,56,29,しこふみ,タフネスブロック,だいばくはつはりて,スーパーしこふみ (B),raiden,4,らいでん しんたろう,雷電 真太郎,Arite,Kim Arite,1539
159-6,ライデン,-,ストーリー,風,MF,1,124,137,56,80,53,62,50,71,68,20,ちょうわざ！,スーパーしこふみ V2(B),ロックウォールダム (B)(Lv25),サンダービースト (E),raiden,3,ひじかた らいでん,土方 雷電,Thor,Thor Stoutberg,1540
159-7,らいな,,とくしゅ（オーガ）,林,FW,10,98,123,48,57,50,51,56,50,51,50,ストーンプリズン,ドラゴンクラッシュ (C),シューティングスター (B),コイルターン,raina,,ひららき らいな,枚聞 楽衣奈,Gleeson,Dextra Gleeson,1541
159-8,ライブラ,コンドル島,人脈システム,山,MF,28,110,110,56,65,64,57,54,57,54,11,スピードプラス,とうめいフェイント,クンフーヘッド (B),ボディシールド,raibura,,あまはかり あすと,天秤 明日人,Libra,Cuba Libra,1542
159-1,ライフル,ヤマネコ島,ミニバトル,林,FW,10,138,120,44,77,58,53,56,68,64,5,おんりょう,あびせげり (C),スネークショット (C),ガンショット,raifuru,,しじょう まこ,施条 真子,Rifles,Regina Raffles,1543
159-10,らいめい,ウミヘビ島,人脈システム,山,MF,16,124,101,62,57,54,53,56,59,67,33,ヒートタックル,れっぷうダッシュ,ライトニングアクセル,サンダービースト,raimei,,らいめい じん,雷鳴 仁,Boomer,Rory Boomer,1544
160-1,ラクダ,南東京,人脈システム,山,FW,8,115,103,56,53,57,53,57,56,55,47,シザーズ・ボム,デザートストーム,イナズマ１ごう (B)(LV51),トライペガサス (LV52),rakuda,,つきの らくた,月野 楽太,Ederi,Direm Ederi,1545
160-2,らじょう,ウミヘビ島,"イギリス
(ガチャ: 赤 )",山,GK,16,102,109,44,52,56,45,51,53,56,69,タフネスブロック,ワイルドクロー,ドこんじょうキャッチ,ボディシールド,rajou,4,らじょうもん とうじ,羅城門 藤次,Carpenter,Dan Carpenter,1546
