team,item1,rate1,item2,rate2,item3,rate3
女子選抜チーム,セキュリティシューズ,75,てっぺきのグローブ,50,守りのペンダント銅,10
ネオジャパン,ネオジャパンスパイク,30,ネオジャパングローブ,20,戦士たちのほこり,40
ネオジャパン改,ネオジャパンスパイク,30,ネオジャパングローブ,20,守りのペンダント銀,8
ビッグウェイブス,大津波のスパイク,30,大津波のグローブ,20,力のペンダント銅,10
デザートライオン,Ｄライオンシューズ,30,Ｄライオングローブ,20,守りのペンダント銅,15
ファイアードラゴン,火竜のスパイク,30,火竜のグローブ,20,アジア予選の思い出,40
アジア代表,きこうしのウェア,20,力のペンダント銀,10,守りのペンダント銀,10
ナイツオブクィーン,ナイツスパイク,25,ナイツグローブ,20,イケイケ！,5
ジ・エンパイア,エンパイアウェア,15,エンパイアシューズ,25,エンパイアグローブ,20
ユニコーン,ユニコーンスパイク,25,ユニコーングローブ,20,古びたピンバッチ,5
オルフェウス,力のペンダント銀,10,オルフェウスシューズ,25,オルフェウスグローブ,20
ザ・キングダム,キングダムスパイク,25,キングダムグローブ,20,シュートプラス,3
リトルギガント,Lギガントウェア,15,コトアールシューズ,20,コトアールグローブ,15
チーム・ガルシルド,やぼうのスパイク,30,やぼうのグローブ,20,スピードプラス,3
千羽山,千羽山ウェア,30,千羽山スパイク,45,千羽山グローブ,40
秋葉名戸,秋葉ウェア,30,秋葉名戸スパイク,60,秋葉名戸グローブ,40
戦国伊賀島,戦国ウェア,30,ニンジャスパイク,45,ニンジャグローブ,40
傘美野,傘美野ウェア,30,傘美野スパイク,60,傘美野グローブ,40
大海原,大海原中ウェア,20,マリンスパイク,45,イプシロン改チケット,40
野生,野生中ウェア,30,ワイルドスパイク,60,ワイルドグラブ,40
御影専農,御影ウェア,30,御影専農スパイク,60,御影専農グローブ,40
白恋,白恋ウェア,20,せつげんのスパイク,50,きたぐにのグローブ,35
尾刈斗,尾刈斗ウェア,30,のろいのスパイク,60,のろいのグローブ,40
漫遊寺,漫遊寺ウェア,20,たんれんスパイク,50,クンフーグローブ,35
帝国,帝国ウェア,20,帝国スパイク,45,帝国グローブ,40
陽花戸,陽花戸ウェア,20,ゆうぐれシューズ,45,サンセットグローブ,35
木戸川,木戸川ウェア,20,木戸川スパイク,45,木戸川グローブ,40
