item_id,stor_id
Leche,1
Agua mineral,1
Bola de arroz,1
Galleta,1
Botas frescas,2
Botas Umbrella,2
Botas Otaku,2
Calzado a cuadros,2
Guantes Otaku,2
Guantes reusados,2
Guantes Umbrella,2
Pulsera gastada,2
Pulsera recia,2
Tarjeta Ultra Zeus,3
Tarjeta Génesis,3
Tarjeta tenebrosa,3
Tarjeta Mundial,3
Llave club,3
Llave tienda chuches,3
Lanza letal,3
Cañon celestial,3
Golpe de samba,3
Descenso estelar,3
La aurora,3
Mandibulas dobles,3
Fuego supremo,3
Triángulo letal 2,3
La Tierra,3
Neo tiro galáctico,3
Lanza de Odín,3
Lluvia oscura montaña,3
Mangual letal,3
Disparo valiente,3
Balón diabólico,3
Sprint triple,3
Presa,3
Subida a los cielos,3
Malla eléctrica,3
Araña gigante,3
Destrozataladros,3
Constelación estelar,3
Botas frescas,3
Guantes reusados,3
Equipo Géminis,3
Equipo Épsilon,3
Equipo Génesis,3
Equipo Caos,3
Leche,4
Agua mineral,4
Agua isotónica,4
Bola de arroz,4
Galleta,4
Barrita,4
Leche,5
Agua mineral,5
Agua isotónica,5
Bola de arroz,5
Galleta,5
Barrita,5
Remate de Seguridad,5
Remate gafas,5
Patada canguro,5
Espejismo,5
Regate rítmico,5
Gravitación,5
Baile de llamas,5
Uñas afiladas,5
Mandril,5
Agujero negro,5
Lanzallamas,5
Botas mentales,5
Botas blancas,5
Botas Sallys,5
Botas frías,5
Guantes Sallys,5
Guantes en llamas,5
Guantes cucos 2,5
Guantes de dama,5
Pulsera juvenil,5
Pulsera de titanio,5
Pulsera amistad,5
Pulsera elegante,5
Supertrampolín Relámpago,6
Remate de Gaia,6
Fénix oscuro,6
Tiro galáctico,6
Potenciación,6
Trama,6
Torre perfecta,6
Muralla infinita,6
Trimano celestial,6
Muro dimensional,6
Botas sombrías,6
Botas de Dédalo,6
Guantes rebeldes,6
Guantes boscosos,6
Cosmopulsera,6
Leche,7
Agua mineral,7
Agua isotónica,7
Bola de arroz,7
Galleta,7
Barrita,7
