page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
82-1,ターコイズ,アルゼンチン,人脈システム,風,FW,,91,135,54,57,57,53,56,48,57,41,ローリングキック,レボリューションV,グッドスメル,ザ・タワー (B),taーkoizu,,いず たあこ,衣主 多亜子,Turquoise,Tia Cruz,794
82-2,タートス,ヤマネコ島,人脈システム,林,GK,,120,107,45,65,63,62,67,60,66,14,キーパープラス,ブラックホール,マジン･ザ･ハンド,ギガントウォール,taーtosu,4,たけきた げんそう,武北 玄宗,Tortoise,Terry Pinn,795
82-3,ターバン,南東京,"大江戸国際空港
(ガチャ: 黄 )",風,DF,,123,93,51,56,53,54,51,67,52,48,デザートストーム,コイルターン,ジグザグフレイム,ごりむちゅう,taーban,,たばん けいすけ,田版 啓右,Fiyah,Kev Fiyah,796
82-4,ダイア,クジャク島,Wi-Fi配信,山,MF,,106,112,51,82,53,51,53,56,54,45,オフェンスフォース,カンガルーキック,アルマジロサーカス,ボディシールド,daia,,ひし たくむ,菱 拓夢,Diamond,Jude Ellery,797
82-5,たいが,ブラジル,"ブラジル
(ガチャ: 赤 )",火,MF,,92,127,52,53,54,66,36,67,60,32,フーセンガム,スーパーアルマジロ,アースクエイク,ヒートタックル,taiga,4,たいが せいごう,大河 誠剛,Banks,Sam Banks,798
82-6,タイガー,ヤマネコ島,人脈システム,山,FW,,130,110,67,65,46,67,62,44,60,13,シュートプラス,ターザンキック (C),クンフーアタック (B),タイガーストーム,taigaー,,とらにし しろつぐ,虎西 白次,Tiger,Tigh Gerwhite,799
82-7,だいかく,セントラル,"ジャパン
(ガチャ: 青 )",風,FW,,120,102,65,55,56,54,57,54,53,15,グレネードショット,リフレクトバスター,モグラシャッフル,とうめいフェイント,daikaku,,だいかく よいち,大覚 夜市,Lomo,Pasha Lomo,800
82-8,だいがみ,ウミガメ島,,山,DF,,120,98,47,58,50,48,46,50,45,79,キラースライド,フーセンガム,ごりむちゅう,いかりのてっつい,daigami,,だいがみ ためお,大上 為男,Rage,Owen Rage,801
82-9,だいきち,京都,"関西 愛媛
(ガチャ: 青 )",風,FW,,121,94,57,56,44,60,51,61,51,62,ラッキー!,すいせいシュート (L),クリティカル!,デュアルストライク (LV72),daikichi,,こうだ だいきち,幸田 大吉,Bottle,Gene Bottle,802
82-10,たいきゅう,ブラジル,Wi-Fi配信,風,MF,,121,74,49,48,43,49,85,78,50,10,ダッシュアクセル,ラン・ボール・ラン,トリプルダッシュ,しっぷうダッシュ,taikyuu,,そうは たえひさ,走破 耐久,Enduro,Charles LeMans,803
