page_order,name_ja,zone_name,obtention_desc,attri,positi,lv,GP,TP,kick,body,control,guard,speed,stamina,guts,freedom,h1,h2,h3,h4,name_romanji,body_type,full_ja,kanji_ja,name_en,full_en,id
165-1,わかいずみ,アルゼンチン,"アルゼンチン
(ガチャ: 赤 )",林,DF,16,124,110,61,63,67,57,50,62,57,31,ブレードアタック,ぶんしんフェイント,プロファイルゾーン,オーロラドリブル,wakaizumi,,わかいずみ まさき,若泉 政基,Youngstein,Colt Youngstein,1593
165-2,わかさ,大海原中,"福岡 沖縄
(ガチャ: 黄 )",風,DF,14,82,124,45,47,45,48,46,45,47,92,アイスグランド,すいせいシュート (L),ムーンサルト,フローズンスティール (LV47),wakasa,1,まがら わかさ,真柄 若佐,Screen,Flick Screening,1594
165-3,わかすぎ,イタリア,ミニバトル,林,FW,5,120,93,44,50,48,45,47,49,44,104,ターザンキック (C),モンキーターン,あびせげり (C),イグナイトスティール,wakasugi,,わかすぎ よう,若杉 洋,Easteroll,Cole Easteroll,1595
165-4,わかば,イタリア,"イタリア
(ガチャ: 青 )",林,FW,18,98,123,52,56,57,53,62,55,52,13,クロスドライブ (C),シャインドライブ,リボンシャワー,こうていペンギン2ごう (LV46),wakaba,1,たしろ わかば,田代 若葉,Clears,Crystal Clears,1596
165-5,わかやま,コトアール,"コトアール
(ガチャ: 青 )",林,GK,20,118,96,44,51,59,47,53,54,51,67,ねっけつヘッド,ごりむちゅう,プラネットシールド,かえんほうしゃ,wakayama,4,わかやま けい,和歌山 慶,Skinner,Pip Skinner,1597
165-6,わくい,アメリカ,"アメリカ
(ガチャ: 赤 )",風,DF,18,82,127,59,56,57,58,36,58,53,23,クイックドロウ,プリマドンナ,かげぬい,ミラージュシュート (C)(LV49),wakui,,わくい ゆうこ,和久井 祐子,Strummon,Lucille Strummon,1598
165-7,ワジ,北東京,"稲妻商店街
(ガチャ: 赤 )",火,DF,8,109,118,51,52,51,54,51,56,51,70,キラースライド,モンキーターン,イリュージョンボール,ライアーショット,waji,1,わじま としのり,輪島 俊則,Stringer,Al Stringer,1599
165-8,わだ,北東京,"稲妻商店街
(ガチャ: 赤 )",林,GK,8,119,101,65,62,62,62,50,60,57,32,ちょうわざ!,キラーブレード,ばくれつパンチ,つなみウォール,wada,,わだ ゆうじ,和田 勇士,Docker,Skip Docker,1600
165-9,わたつみ,セントラル,"ジャパン
(ガチャ: 黄レア )",風,DF,14,117,99,62,61,60,62,61,53,57,11,トカチェフボンバー (C),シューティングスター (B),パワーチャージ,メガロドン,watatsumi,,わたつみ えいき,海神 永基,Atherton,Levi Atherton,1601
165-10,わたなべ,セントラル,"ジャパン
(ガチャ: 赤 )",山,MF,14,135,109,56,59,57,57,55,56,53,22,ジャイアントスピン (B),ターザンキック (C),メガウォール (B),スーパーしこふみ (B),watanabe,3,わたなべ あきひろ,渡辺 映宏,Switcher,Daley Switcher,1602
166-1,わたや,ジャパン,"ジャパン
(ガチャ: 黄 )",林,GK,14,99,119,47,48,46,63,46,47,48,84,キラーブレード,フェイクボール,ドこんじょうキャッチ,かえんほうしゃ,wataya,,わたや しんじ,綿矢 針次,Sewer,Ken Sewer,1603
166-2,わたり,セントラル,ミニバトル,風,FW,10,111,91,60,56,51,54,56,56,57,33,クリティカル！,ドッペルゲンガー,ガニメデプロトン,シューティングスター (B),watari,,わたり かつあき,渡 克明,Pointer,Vick Pointer,1604
166-3,わに,京都,ミニバトル,火,FW,10,114,102,52,51,48,62,63,58,59,32,イカサマ!,ひゃくれつショット (C),ホークショット (B),ばくねつストーム,wani,,わに ぜんちく,王仁 禅竹,Trogg,Richard Trogg,1605
166-4,わらし,南東京,"大江戸国際空港
(ガチャ: 黄 )",風,DF,8,80,141,46,48,46,51,56,51,53,71,コイルターン,アストロブレイク,ラッキー!,かげぬい,warashi,1,ますやま どうこ,升山 童子,Quirk,Shirly Quirk,1606
166-5,わんちゃん,ヤマネコ島,"アルゼンチン
(ガチャ: 黄 )",山,GK,16,121,92,61,53,54,58,41,57,57,43,まきわりチョップ,ワイルドクロー,しこふみ,フラッシュアッパー,wanchan,4,おおい  いちろう,王井 一郎,Factory,Ol Factory,1607
